Name,ID,Nb Casiers,Qualité de collecte,Collecteurs disponibles,latitude,longitude,heures,key,date,quantite,demande
SAVONS & PETITS POIS,PDC-117,20.0,TOPISSIME,['REBOOTEILLE'],45.6598295,4.5604562,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", SAVONS & PETITS POIS PDC-117,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON CHARITE,PDC-125,12.0,NEUTRE,['REBOOTEILLE'],45.7528126,4.8314755,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", LA VIE CLAIRE LYON CHARITE PDC-125,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON GENTIL,PDC-128,12.0,NEUTRE,['REBOOTEILLE'],45.7648839,4.8364865,"[[8, 20], [32, 44], [56, 68], [80, 92], [104, 116], [128, 140], [152, 164]]", LA VIE CLAIRE LYON GENTIL PDC-128,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON VENDOME,PDC-129,12.0,NEUTRE,['REBOOTEILLE'],45.7669768,4.8457192,"[[13, 15], [37, 39], [61, 63], [85, 87], [109, 111], [133, 135], [157, 159]]", LA VIE CLAIRE LYON VENDOME PDC-129,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON POINT DU JOUR,PDC-102,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.756276,4.7980177,"[[8.5, 19.5], [32.5, 43.5], [56.5, 67.5], [80.5, 91.5], [104.5, 115.5], [128.5, 139.5], [152.5, 156.5]]", LA VIE CLAIRE LYON POINT DU JOUR PDC-102,2022-10-28 00:00:00,7.0,0
LA VIE CLAIRE LYON ANDRE PHILIP,PDC-130,12.0,NEUTRE,['REBOOTEILLE'],45.7616815,4.850553,"[[9, 12], [14, 19], [33, 36], [38, 43], [57, 60], [62, 67], [81, 84], [86, 91], [105, 108], [110, 115], [129, 132], [134, 139], [153, 156], [158, 163]]", LA VIE CLAIRE LYON ANDRE PHILIP PDC-130,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON VITTON,PDC-131,12.0,NEUTRE,['REBOOTEILLE'],45.7694259,4.850764,"[[14, 17], [38, 41], [62, 65], [86, 89], [110, 113], [134, 137]]", LA VIE CLAIRE LYON VITTON PDC-131,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON SAXE GAMBETTA,PDC-132,12.0,NEUTRE,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7572888,4.8464561,"[[8, 11], [15, 17], [32, 35], [39, 41], [56, 59], [63, 65], [80, 83], [87, 89], [104, 107], [111, 113], [128, 131], [135, 137], [152, 155], [159, 161]]", LA VIE CLAIRE LYON SAXE GAMBETTA PDC-132,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON CROIX-ROUSSE,PDC-133,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7813437,4.833106,"[[14, 17], [38, 41], [62, 65], [86, 89], [110, 113], [134, 137], [158, 161]]", LA VIE CLAIRE LYON CROIX-ROUSSE PDC-133,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON MORISOT,PDC-134,12.0,TOPISSIME,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7321989,4.8832794,"[[9, 12], [13, 19], [33, 36], [37, 43], [57, 60], [61, 67], [81, 84], [85, 91], [105, 108], [109, 115], [129, 132], [133, 139], [153, 156], [157, 163]]", LA VIE CLAIRE LYON MORISOT PDC-134,2022-12-05 00:00:00,0.0,0
LA VIE CLAIRE LYON ROCKEFELLER,PDC-135,12.0,NEUTRE,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7419267,4.8823591,"[[9, 12], [14, 19.5], [33, 36], [38, 43.5], [57, 60], [62, 67.5], [81, 84], [86, 91.5], [105, 108], [110, 115.5], [129, 132], [134, 139.5], [153, 156], [158, 163.5]]", LA VIE CLAIRE LYON ROCKEFELLER PDC-135,2022-12-05 00:00:00,0.0,0
